T21,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
84,Belize,2023,Imports CIF (millions of US dollars),G,,"1,337",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2024,Imports CIF (millions of US dollars),G,,"1,455",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,1995,Exports FOB (millions of US dollars),G,,162,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2005,Exports FOB (millions of US dollars),G,,208,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2010,Exports FOB (millions of US dollars),G,,282,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2015,Exports FOB (millions of US dollars),G,,314,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2022,Exports FOB (millions of US dollars),G,,286,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2023,Exports FOB (millions of US dollars),G,,253,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2024,Exports FOB (millions of US dollars),G,,283,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,1995,Balance imports/exports (millions of US dollars),G,,-97,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2005,Balance imports/exports (millions of US dollars),G,,-231,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2010,Balance imports/exports (millions of US dollars),G,,-418,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2015,Balance imports/exports (millions of US dollars),G,,-682,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2022,Balance imports/exports (millions of US dollars),G,,"-1,092",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2023,Balance imports/exports (millions of US dollars),G,,"-1,084",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
84,Belize,2024,Balance imports/exports (millions of US dollars),G,,"-1,172",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,1995,Imports CIF (millions of US dollars),G,,745,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2005,Imports CIF (millions of US dollars),G,,899,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2010,Imports CIF (millions of US dollars),G,,"2,134",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2015,Imports CIF (millions of US dollars),G,,"2,547",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2022,Imports CIF (millions of US dollars),G,,"3,846",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2023,Imports CIF (millions of US dollars),G,,"3,905",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2024,Imports CIF (millions of US dollars),G,,"2,991",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,1995,Exports FOB (millions of US dollars),G,,415,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2005,Exports FOB (millions of US dollars),G,,288,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2010,Exports FOB (millions of US dollars),G,,534,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2015,Exports FOB (millions of US dollars),G,,625,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2022,Exports FOB (millions of US dollars),G,,899,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2023,Exports FOB (millions of US dollars),G,,"1,052",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2024,Exports FOB (millions of US dollars),G,,"2,595",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,1995,Balance imports/exports (millions of US dollars),G,,-329,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2005,Balance imports/exports (millions of US dollars),G,,-611,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2010,Balance imports/exports (millions of US dollars),G,,"-1,600",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2015,Balance imports/exports (millions of US dollars),G,,"-1,922",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2022,Balance imports/exports (millions of US dollars),G,,"-2,947",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2023,Balance imports/exports (millions of US dollars),G,,"-2,853",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
204,Benin,2024,Balance imports/exports (millions of US dollars),G,,-396,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,1995,Imports CIF (millions of US dollars),G,,633,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2005,Imports CIF (millions of US dollars),G,,988,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2010,Imports CIF (millions of US dollars),G,,970,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2015,Imports CIF (millions of US dollars),G,,929,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2022,Imports CIF (millions of US dollars),G,,"1,192",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2023,Imports CIF (millions of US dollars),G,,"1,179",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2024,Imports CIF (millions of US dollars),G,,969,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,1995,Exports FOB (millions of US dollars),G,,63,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2005,Exports FOB (millions of US dollars),G,,49,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2010,Exports FOB (millions of US dollars),G,,15,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2015,Exports FOB (millions of US dollars),G,,9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2022,Exports FOB (millions of US dollars),G,,34,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2023,Exports FOB (millions of US dollars),G,,22,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2024,Exports FOB (millions of US dollars),G,,39,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,1995,Balance imports/exports (millions of US dollars),G,,-570,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2005,Balance imports/exports (millions of US dollars),G,,-939,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2010,Balance imports/exports (millions of US dollars),G,,-955,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2015,Balance imports/exports (millions of US dollars),G,,-920,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2022,Balance imports/exports (millions of US dollars),G,,"-1,159",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2023,Balance imports/exports (millions of US dollars),G,,"-1,156",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
60,Bermuda,2024,Balance imports/exports (millions of US dollars),G,,-930,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,1995,Imports CIF (millions of US dollars),G,,113,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2005,Imports CIF (millions of US dollars),G,,387,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2010,Imports CIF (millions of US dollars),G,,854,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2015,Imports CIF (millions of US dollars),G,,"1,753",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2022,Imports CIF (millions of US dollars),G,,"4,103",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2023,Imports CIF (millions of US dollars),G,,"3,823",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2024,Imports CIF (millions of US dollars),G,,"4,221",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,1995,Exports FOB (millions of US dollars),G,,103,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2005,Exports FOB (millions of US dollars),G,,258,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2010,Exports FOB (millions of US dollars),G,,413,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2015,Exports FOB (millions of US dollars),G,,782,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2022,Exports FOB (millions of US dollars),G,,652,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2023,Exports FOB (millions of US dollars),G,,704,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2024,Exports FOB (millions of US dollars),G,,812,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,1995,Balance imports/exports (millions of US dollars),G,,-9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2005,Balance imports/exports (millions of US dollars),G,,-129,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2010,Balance imports/exports (millions of US dollars),G,,-440,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2015,Balance imports/exports (millions of US dollars),G,,-971,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2022,Balance imports/exports (millions of US dollars),G,,"-3,451",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2023,Balance imports/exports (millions of US dollars),G,,"-3,119",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
64,Bhutan,2024,Balance imports/exports (millions of US dollars),G,,"-3,409",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),1995,Imports CIF (millions of US dollars),G,,"1,396",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2005,Imports CIF (millions of US dollars),G,,"2,343",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2010,Imports CIF (millions of US dollars),G,,"5,604",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2015,Imports CIF (millions of US dollars),G,,"9,843",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2022,Imports CIF (millions of US dollars),G,,"13,049",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2023,Imports CIF (millions of US dollars),G,,"11,489",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2024,Imports CIF (millions of US dollars),G,,"9,904",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),1995,Exports FOB (millions of US dollars),G,,"1,181",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2005,Exports FOB (millions of US dollars),G,,"2,797",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2010,Exports FOB (millions of US dollars),G,,"7,051",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2015,Exports FOB (millions of US dollars),G,,"8,923",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2022,Exports FOB (millions of US dollars),G,,"13,653",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2023,Exports FOB (millions of US dollars),G,,"10,919",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2024,Exports FOB (millions of US dollars),G,,"9,059",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),1995,Balance imports/exports (millions of US dollars),G,,-215,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2005,Balance imports/exports (millions of US dollars),G,,454,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2010,Balance imports/exports (millions of US dollars),G,,"1,448",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2015,Balance imports/exports (millions of US dollars),G,,-920,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2022,Balance imports/exports (millions of US dollars),G,,603,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2023,Balance imports/exports (millions of US dollars),G,,-571,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
68,Bolivia (Plurin. State of),2024,Balance imports/exports (millions of US dollars),G,,-845,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,1995,Imports CIF (millions of US dollars),S,,"1,068",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2005,Imports CIF (millions of US dollars),S,,"7,054",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2010,Imports CIF (millions of US dollars),S,,"9,223",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2015,Imports CIF (millions of US dollars),S,,"8,994",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2022,Imports CIF (millions of US dollars),S,,"15,380",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2023,Imports CIF (millions of US dollars),S,,"15,349",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2024,Imports CIF (millions of US dollars),S,,"15,853",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,1995,Exports FOB (millions of US dollars),S,,152,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2005,Exports FOB (millions of US dollars),S,,"2,388",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2010,Exports FOB (millions of US dollars),S,,"4,803",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2015,Exports FOB (millions of US dollars),S,,"5,099",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2022,Exports FOB (millions of US dollars),S,,"9,678",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2023,Exports FOB (millions of US dollars),S,,"9,228",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2024,Exports FOB (millions of US dollars),S,,"8,894",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,1995,Balance imports/exports (millions of US dollars),S,,-917,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2005,Balance imports/exports (millions of US dollars),S,,"-4,665",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2010,Balance imports/exports (millions of US dollars),S,,"-4,420",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2015,Balance imports/exports (millions of US dollars),S,,"-3,895",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2022,Balance imports/exports (millions of US dollars),S,,"-5,701",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2023,Balance imports/exports (millions of US dollars),S,,"-6,121",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
70,Bosnia and Herzegovina,2024,Balance imports/exports (millions of US dollars),S,,"-6,959",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2005,Imports CIF (millions of US dollars),G,,"3,162",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2010,Imports CIF (millions of US dollars),G,,"5,657",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2015,Imports CIF (millions of US dollars),G,,"8,048",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2022,Imports CIF (millions of US dollars),G,,"8,115",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2023,Imports CIF (millions of US dollars),G,,"6,417",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2024,Imports CIF (millions of US dollars),G,,"7,498",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2005,Exports FOB (millions of US dollars),G,,"4,431",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2010,Exports FOB (millions of US dollars),G,,"4,693",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2015,Exports FOB (millions of US dollars),G,,"6,330",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2022,Exports FOB (millions of US dollars),G,,"8,415",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2023,Exports FOB (millions of US dollars),G,,"5,503",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2024,Exports FOB (millions of US dollars),G,,"3,609",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2005,Balance imports/exports (millions of US dollars),G,,"1,268",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2010,Balance imports/exports (millions of US dollars),G,,-964,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2015,Balance imports/exports (millions of US dollars),G,,"-1,718",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2022,Balance imports/exports (millions of US dollars),G,,300,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2023,Balance imports/exports (millions of US dollars),G,,-915,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
72,Botswana,2024,Balance imports/exports (millions of US dollars),G,,"-3,888",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,1995,Imports CIF (millions of US dollars),S,,"53,734",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2005,Imports CIF (millions of US dollars),S,,"73,600",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2010,Imports CIF (millions of US dollars),S,,"181,768",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2015,Imports CIF (millions of US dollars),S,,"180,457",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2022,Imports CIF (millions of US dollars),S,,"292,344",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2023,Imports CIF (millions of US dollars),S,,"252,710",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2024,Imports CIF (millions of US dollars),S,,"277,549",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,1995,Exports FOB (millions of US dollars),S,,"46,505",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2005,Exports FOB (millions of US dollars),S,,"118,529",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2010,Exports FOB (millions of US dollars),S,,"201,915",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2015,Exports FOB (millions of US dollars),S,,"186,775",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2022,Exports FOB (millions of US dollars),S,,"334,463",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2023,Exports FOB (millions of US dollars),S,,"339,696",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2024,Exports FOB (millions of US dollars),S,,"337,036",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,1995,Balance imports/exports (millions of US dollars),S,,"-7,229",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2005,Balance imports/exports (millions of US dollars),S,,"44,928",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2010,Balance imports/exports (millions of US dollars),S,,"20,147",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2015,Balance imports/exports (millions of US dollars),S,,"6,317",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2022,Balance imports/exports (millions of US dollars),S,,"42,119",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2023,Balance imports/exports (millions of US dollars),S,,"86,985",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
76,Brazil,2024,Balance imports/exports (millions of US dollars),S,,"59,487",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
92,British Virgin Islands,1995,Imports CIF (millions of US dollars),G,,122,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
92,British Virgin Islands,2005,Imports CIF (millions of US dollars),G,,227,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
92,British Virgin Islands,2010,Imports CIF (millions of US dollars),G,,313,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
