country_code,country_name,year,balance_usd_m,exports_usd_m,imports_usd_m
44,Bahamas (The),2024,-4065.0,433.0,4498.0
48,Bahrain,1995,-204.0,3475.0,3679.0
48,Bahrain,2005,899.0,10239.0,9339.0
48,Bahrain,2010,58.0,16059.0,16002.0
48,Bahrain,2015,-2508.0,13882.0,16390.0
48,Bahrain,2022,6718.0,22252.0,15535.0
48,Bahrain,2023,-2947.0,12407.0,15354.0
48,Bahrain,2024,-5192.0,10412.0,15605.0
50,Bangladesh,1995,-2031.0,3407.0,5438.0
50,Bangladesh,2005,-3299.0,9332.0,12631.0
50,Bangladesh,2010,-11273.0,19231.0,30504.0
50,Bangladesh,2015,-16325.0,31734.0,48059.0
50,Bangladesh,2022,-33076.0,47086.0,80162.0
50,Bangladesh,2023,-22829.0,38769.0,61598.0
50,Bangladesh,2024,-21663.0,41371.0,63033.0
52,Barbados,1995,-528.0,238.0,766.0
52,Barbados,2005,-1311.0,361.0,1672.0
52,Barbados,2010,-883.0,314.0,1196.0
52,Barbados,2015,-1135.0,483.0,1618.0
52,Barbados,2022,-1653.0,498.0,2151.0
52,Barbados,2023,-1667.0,476.0,2143.0
52,Barbados,2024,-1671.0,494.0,2165.0
112,Belarus,1995,-759.0,4623.0,5382.0
112,Belarus,2005,-722.0,15977.0,16699.0
112,Belarus,2010,-9601.0,25283.0,34884.0
112,Belarus,2015,-3631.0,26660.0,30291.0
112,Belarus,2022,-11361.0,34068.0,45430.0
112,Belarus,2023,-22915.0,31610.0,54525.0
112,Belarus,2024,-18827.0,33677.0,52503.0
56,Belgium,1995,14765.0,168154.0,153388.0
56,Belgium,2005,16606.0,335692.0,319085.0
56,Belgium,2010,16340.0,407596.0,391256.0
56,Belgium,2015,-5182.0,253411.0,258593.0
56,Belgium,2022,-495.0,463782.0,464277.0
56,Belgium,2023,-21980.0,393158.0,415137.0
56,Belgium,2024,10374.0,377265.0,366891.0
84,Belize,1995,-97.0,162.0,259.0
84,Belize,2005,-231.0,208.0,439.0
84,Belize,2010,-418.0,282.0,700.0
84,Belize,2015,-682.0,314.0,996.0
84,Belize,2022,-1092.0,286.0,1378.0
84,Belize,2023,-1084.0,253.0,1337.0
84,Belize,2024,-1172.0,283.0,1455.0
204,Benin,1995,-329.0,415.0,745.0
204,Benin,2005,-611.0,288.0,899.0
204,Benin,2010,-1600.0,534.0,2134.0
204,Benin,2015,-1922.0,625.0,2547.0
204,Benin,2022,-2947.0,899.0,3846.0
204,Benin,2023,-2853.0,1052.0,3905.0
204,Benin,2024,-396.0,2595.0,2991.0
60,Bermuda,1995,-570.0,63.0,633.0
60,Bermuda,2005,-939.0,49.0,988.0
60,Bermuda,2010,-955.0,15.0,970.0
60,Bermuda,2015,-920.0,9.0,929.0
60,Bermuda,2022,-1159.0,34.0,1192.0
60,Bermuda,2023,-1156.0,22.0,1179.0
60,Bermuda,2024,-930.0,39.0,969.0
64,Bhutan,1995,-9.0,103.0,113.0
64,Bhutan,2005,-129.0,258.0,387.0
64,Bhutan,2010,-440.0,413.0,854.0
64,Bhutan,2015,-971.0,782.0,1753.0
64,Bhutan,2022,-3451.0,652.0,4103.0
64,Bhutan,2023,-3119.0,704.0,3823.0
64,Bhutan,2024,-3409.0,812.0,4221.0
68,Bolivia (Plurin. State of),1995,-215.0,1181.0,1396.0
68,Bolivia (Plurin. State of),2005,454.0,2797.0,2343.0
68,Bolivia (Plurin. State of),2010,1448.0,7051.0,5604.0
68,Bolivia (Plurin. State of),2015,-920.0,8923.0,9843.0
68,Bolivia (Plurin. State of),2022,603.0,13653.0,13049.0
68,Bolivia (Plurin. State of),2023,-571.0,10919.0,11489.0
68,Bolivia (Plurin. State of),2024,-845.0,9059.0,9904.0
70,Bosnia and Herzegovina,1995,-917.0,152.0,1068.0
70,Bosnia and Herzegovina,2005,-4665.0,2388.0,7054.0
70,Bosnia and Herzegovina,2010,-4420.0,4803.0,9223.0
70,Bosnia and Herzegovina,2015,-3895.0,5099.0,8994.0
70,Bosnia and Herzegovina,2022,-5701.0,9678.0,15380.0
70,Bosnia and Herzegovina,2023,-6121.0,9228.0,15349.0
70,Bosnia and Herzegovina,2024,-6959.0,8894.0,15853.0
72,Botswana,2005,1268.0,4431.0,3162.0
72,Botswana,2010,-964.0,4693.0,5657.0
72,Botswana,2015,-1718.0,6330.0,8048.0
72,Botswana,2022,300.0,8415.0,8115.0
72,Botswana,2023,-915.0,5503.0,6417.0
72,Botswana,2024,-3888.0,3609.0,7498.0
76,Brazil,1995,-7229.0,46505.0,53734.0
76,Brazil,2005,44928.0,118529.0,73600.0
76,Brazil,2010,20147.0,201915.0,181768.0
76,Brazil,2015,6317.0,186775.0,180457.0
76,Brazil,2022,42119.0,334463.0,292344.0
76,Brazil,2023,86985.0,339696.0,252710.0
76,Brazil,2024,59487.0,337036.0,277549.0
92,British Virgin Islands,1995,-110.0,11.0,122.0
92,British Virgin Islands,2005,-226.0,0.0,227.0
92,British Virgin Islands,2010,-313.0,0.0,313.0
92,British Virgin Islands,2015,-429.0,0.0,429.0
92,British Virgin Islands,2022,-669.0,0.0,669.0
96,Brunei Darussalam,1995,301.0,2379.0,2078.0
96,Brunei Darussalam,2005,4794.0,6242.0,1447.0
96,Brunei Darussalam,2010,6369.0,8908.0,2539.0
96,Brunei Darussalam,2015,3124.0,6353.0,3229.0
96,Brunei Darussalam,2022,5046.0,14230.0,9184.0
96,Brunei Darussalam,2023,3756.0,11241.0,7484.0
96,Brunei Darussalam,2024,3459.0,10462.0,7003.0
100,Bulgaria,1995,-249.0,5220.0,5469.0
100,Bulgaria,2005,-6423.0,11739.0,18162.0
100,Bulgaria,2010,-4752.0,20608.0,25360.0
100,Bulgaria,2015,-3486.0,25779.0,29265.0
100,Bulgaria,2022,-7841.0,50250.0,58092.0
100,Bulgaria,2023,-5628.0,47901.0,53529.0
100,Bulgaria,2024,-7159.0,46647.0,53806.0
854,Burkina Faso,1995,-313.0,171.0,484.0
854,Burkina Faso,2005,-828.0,332.0,1161.0
854,Burkina Faso,2010,-760.0,1288.0,2048.0
854,Burkina Faso,2015,-852.0,2217.0,3069.0
854,Burkina Faso,2022,-1091.0,4556.0,5647.0
854,Burkina Faso,2023,-1422.0,4459.0,5880.0
854,Burkina Faso,2024,-786.0,5642.0,6429.0
108,Burundi,1995,-92.0,179.0,270.0
108,Burundi,2005,-144.0,114.0,258.0
