country_code,country_name,is_aggregate,is_historical,plotly_name,is_mappable
4,Afghanistan,False,False,Afghanistan,True
2,Africa,True,False,Africa,False
8,Albania,False,False,Albania,True
12,Algeria,False,False,Algeria,True
19,Americas,True,False,Americas,False
20,Andorra,False,False,Andorra,True
24,Angola,False,False,Angola,True
660,Anguilla,False,False,Anguilla,True
28,Antigua and Barbuda,False,False,Antigua and Barbuda,True
32,Argentina,False,False,Argentina,True
51,Armenia,False,False,Armenia,True
533,Aruba,False,False,Aruba,True
142,Asia,True,False,Asia,False
36,Australia,False,False,Australia,True
53,Australia and New Zealand,True,False,Australia and New Zealand,False
40,Austria,False,False,Austria,True
31,Azerbaijan,False,False,Azerbaijan,True
44,Bahamas (The),False,False,Bahamas,True
48,Bahrain,False,False,Bahrain,True
50,Bangladesh,False,False,Bangladesh,True
52,Barbados,False,False,Barbados,True
112,Belarus,False,False,Belarus,True
56,Belgium,False,False,Belgium,True
84,Belize,False,False,Belize,True
204,Benin,False,False,Benin,True
60,Bermuda,False,False,Bermuda,True
64,Bhutan,False,False,Bhutan,True
68,Bolivia (Plurin. State of),False,False,Bolivia,True
70,Bosnia and Herzegovina,False,False,Bosnia and Herzegovina,True
72,Botswana,False,False,Botswana,True
76,Brazil,False,False,Brazil,True
92,British Virgin Islands,False,False,British Virgin Islands,True
96,Brunei Darussalam,False,False,Brunei,True
100,Bulgaria,False,False,Bulgaria,True
854,Burkina Faso,False,False,Burkina Faso,True
108,Burundi,False,False,Burundi,True
132,Cabo Verde,False,False,Cape Verde,True
116,Cambodia,False,False,Cambodia,True
120,Cameroon,False,False,Cameroon,True
124,Canada,False,False,Canada,True
29,Caribbean,True,False,Caribbean,False
136,Cayman Islands,False,False,Cayman Islands,True
140,Central African Republic,False,False,Central African Republic,True
13,Central America,True,False,Central America,False
143,Central Asia,True,False,Central Asia,False
148,Chad,False,False,Chad,True
152,Chile,False,False,Chile,True
156,China,False,False,China,True
344,"China, Hong Kong SAR",False,False,Hong Kong,True
446,"China, Macao SAR",False,False,Macao,True
170,Colombia,False,False,Colombia,True
174,Comoros,False,False,Comoros,True
178,Congo,False,False,Republic of Congo,True
184,Cook Islands,False,False,Cook Islands,True
188,Costa Rica,False,False,Costa Rica,True
191,Croatia,False,False,Croatia,True
192,Cuba,False,False,Cuba,True
196,Cyprus,False,False,Cyprus,True
